,i_roc,p_roc,i_ap,p_ap,i_f1,p_f1,p_pro
carpet,94.78,70.42,97.71,39.98,94.19,56.71,0.00
grid,80.45,63.88,93.63,12.43,84.44,18.14,0.00
leather,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tile,96.28,81.61,98.68,61.69,94.41,64.83,0.00
wood,98.86,81.83,99.67,60.31,98.31,67.17,0.00
bottle,79.29,68.99,92.13,32.81,88.72,39.29,0.00
cable,54.99,69.05,71.89,19.91,76.03,32.27,0.00
capsule,52.01,61.88,85.74,8.29,90.46,17.68,0.00
hazelnut,83.93,85.46,90.27,38.71,85.71,44.80,0.00
metal_nut,28.93,59.98,73.97,13.29,89.42,36.20,0.00
pill,41.38,93.34,84.07,52.23,91.56,45.82,0.00
screw,0.00,0.00,0.00,0.00,0.00,0.00,0.00
toothbrush,20.56,64.14,56.62,2.22,83.33,8.18,0.00
transistor,30.96,64.87,32.73,6.71,57.14,19.57,0.00
zipper,36.71,78.82,76.59,12.42,88.15,21.28,0.00
